港澳,#genre#
凤凰卫视,http://103.45.68.47/gy/gy213/xsj.php?id=phtv-cn
凤凰资讯,http://103.45.68.47/gy/gy213/xsj.php?id=phtv-info
凤凰香港,http://103.45.68.47/gy/gy213/xsj.php?id=phtv-hk
TVBJ2,http://103.45.68.47/gy/gy213/xsj.php?id=j2
TVB明珠台,http://103.45.68.47/gy/gy213/xsj.php?id=pearl
ViuTV,http://103.45.68.47/gy/gy213/xsj.php?id=viutv
TVB翡翠台,http://103.45.68.47/gy/gy213/xsj.php?id=feicui
Now 财经台,http://103.45.68.47/gy/gy213/xsj.php?id=now-finance
凤凰卫视,http://103.45.68.47/gy/gy213/xsj.php?id=phtv
澳门莲花卫视,http://103.45.68.47/gy/gy213/xsj.php?id=lotustv
无线新闻台,http://103.45.68.47/gy/gy213/xsj.php?id=tvb-news
无线财经台,http://103.45.68.47/gy/gy213/xsj.php?id=tvb-finance
ViuTV6,http://103.45.68.47/gy/gy213/xsj.php?id=viutv6
港台电视 31,http://103.45.68.47/gy/gy213/xsj.php?id=rthk31
港台电视 32,http://103.45.68.47/gy/gy213/xsj.php?id=rthk32
HOY TV,http://103.45.68.47/gy/gy213/xsj.php?id=hoytv
香港国际财经台,http://103.45.68.47/gy/gy213/xsj.php?id=hkibc
HOY 资讯台,http://103.45.68.47/gy/gy213/xsj.php?id=hoy-info
澳门资讯,http://103.45.68.47/gy/gy213/xsj.php?id=amzx
澳视澳门,http://103.45.68.47/gy/gy213/xsj.php?id=asam
Now 新闻台,http://103.45.68.47/gy/gy213/xsj.php?id=now-news
TVB 经典台,http://103.45.68.47/gy/gy213/xsj.php?id=tvb-classic
天映经典,http://103.45.68.47/gy/gy213/xsj.php?id=cccm
天映频道 HD,http://103.45.68.47/gy/gy213/xsj.php?id=celestial
Now 华剧台,http://103.45.68.47/gy/gy213/xsj.php?id=now-hairun
TVB 华语剧台,http://103.45.68.47/gy/gy213/xsj.php?id=tvb-drama
TVB 星河台,http://103.45.68.47/gy/gy213/xsj.php?id=tvb-xinghe
Now 爆谷台,http://103.45.68.47/gy/gy213/xsj.php?id=baogu-movies
综合,#genre#
大爱二台,http://103.45.68.47/gy/gy213/xsj.php?id=daai2
大爱一台,http://103.45.68.47/gy/gy213/xsj.php?id=daai1
中视 HD,http://103.45.68.47/gy/gy213/xsj.php?id=ctv-hd
公视,http://103.45.68.47/gy/gy213/xsj.php?id=pts
公视3台,http://103.45.68.47/gy/gy213/xsj.php?id=pts3
中天综合台,http://103.45.68.47/gy/gy213/xsj.php?id=ctitv36
中天亚洲台,http://103.45.68.47/gy/gy213/xsj.php?id=cti-asia
东森超视 HD,http://103.45.68.47/gy/gy213/xsj.php?id=ebc-supertv
靖天国际台,http://103.45.68.47/gy/gy213/xsj.php?id=jtgj
TVBS Asia,http://103.45.68.47/gy/gy213/xsj.php?id=tvbs-asia
八大综合台,http://103.45.68.47/gy/gy213/xsj.php?id=gtv28
客家电视台,http://103.45.68.47/gy/gy213/xsj.php?id=hakkatv
东森综合台,http://103.45.68.47/gy/gy213/xsj.php?id=ebc-ettv
中视,http://103.45.68.47/gy/gy213/xsj.php?id=ctv
华视,http://103.45.68.47/gy/gy213/xsj.php?id=cts
台视,http://103.45.68.47/gy/gy213/xsj.php?id=ttv
纬来日本,http://103.45.68.47/gy/gy213/xsj.php?id=videoland-japan
纬来综合台,http://103.45.68.47/gy/gy213/xsj.php?id=videoland
八大第一台,http://103.45.68.47/gy/gy213/xsj.php?id=gtv27
ELTA 综合,http://103.45.68.47/gy/gy213/xsj.php?id=elta-tv
新闻,#genre#
TVBS 新闻台,http://103.45.68.47/gy/gy213/xsj.php?id=tvbs-news
寰宇新闻台,http://103.45.68.47/gy/gy213/xsj.php?id=global-news
华视新闻,http://103.45.68.47/gy/gy213/xsj.php?id=cts-news
中天新闻,http://103.45.68.47/gy/gy213/xsj.php?id=cti-news
镜新闻,http://103.45.68.47/gy/gy213/xsj.php?id=mnews
壹新闻 HD,http://103.45.68.47/gy/gy213/xsj.php?id=nexttv
靖天资讯台,http://103.45.68.47/gy/gy213/xsj.php?id=jtzx
中视新闻,http://103.45.68.47/gy/gy213/xsj.php?id=ctv-news
台视新闻,http://103.45.68.47/gy/gy213/xsj.php?id=ttv-news
TVBS HD,http://103.45.68.47/gy/gy213/xsj.php?id=tvbs-hd
东森财经新闻,http://103.45.68.47/gy/gy213/xsj.php?id=ebc-finance
年代新闻,http://103.45.68.47/gy/gy213/xsj.php?id=era-news
非凡新闻,http://103.45.68.47/gy/gy213/xsj.php?id=ustv-news
东森新闻,http://103.45.68.47/gy/gy213/xsj.php?id=ebc-news
台湾娱乐影视,#genre#
TVBS 欢乐台,http://103.45.68.47/gy/gy213/xsj.php?id=tvbs-huanle
中天娱乐台,http://103.45.68.47/gy/gy213/xsj.php?id=ctitv39
八大娱乐台,http://103.45.68.47/gy/gy213/xsj.php?id=gtv86
东森电影,http://103.45.68.47/gy/gy213/xsj.php?id=ebc-movie
东森戏剧,http://103.45.68.47/gy/gy213/xsj.php?id=ebc-drama
